Name (English),Type,Ownership,Region,IEQAS Degree Certified,IEQAS Excellent Tier,IEQAS Korean Language Certified,Notes
Chosun College of Science and Technology,Junior College,Private,Gwangju,,,,
Chosun Nursing College,Junior College,Private,Gwangju,,,,
Christian College of Nursing,Junior College,Private,Gwangju,,,,
Dongkang College,Junior College,Private,Gwangju,,,,
Gwangju Health University,Junior College,Private,Gwangju,,,,
Seoyeong University,Junior College,Private,Gwangju,,,,
Agricultural Cooperative University,Junior College,Private,Gyeonggi,,,,Operated by NongHyup
Ansan University,Junior College,Private,Gyeonggi,Yes,,Yes,
Bucheon University,Junior College,Private,Gyeonggi,Yes,,Yes,
Chungkang College of Cultural Industries,Junior College,Private,Gyeonggi,,,,
Daelim University College,Junior College,Private,Gyeonggi,Yes,,,
Dong Seoul University,Junior College,Private,Gyeonggi,,,,
Dong-Ah Institute of Media and Arts,Junior College,Private,Gyeonggi,,,,
Dongnam Health University,Junior College,Private,Gyeonggi,,,,
Doowon Technical University College,Junior College,Private,Gyeonggi,,,,
Gyeonggi College of Science and Technology,Junior College,Private,Gyeonggi,,,,
Jangan University,Junior College,Private,Gyeonggi,Yes,,,
Kaywon University of Art and Design,Junior College,Private,Gyeonggi,,,,
Kimpo University,Junior College,Private,Gyeonggi,,,,
Kookje University,Junior College,Private,Gyeonggi,,,,
Korea Tourism College,Junior College,Private,Gyeonggi,,,,
Kyungbok University,Junior College,Private,Gyeonggi,Yes,Yes,Yes,
Kyungmin University,Junior College,Private,Gyeonggi,,,,
Osan University,Junior College,Private,Gyeonggi,Yes,,Yes,
Seojeong University,Junior College,Private,Gyeonggi,Yes,,,
Seoul Institute of the Arts,Junior College,Private,Gyeonggi,Yes,,,Ansan campus
Shin Ansan University,Junior College,Private,Gyeonggi,,,,
Shingu College,Junior College,Private,Gyeonggi,,,,
Suwon Science College,Junior College,Private,Gyeonggi,,,,
Suwon Women's University,Junior College,Private,Gyeonggi,,,,
Tongwon University,Junior College,Private,Gyeonggi,Yes,,Yes,Also romanized Dongwon University (Gwangju City)
Woongji Accounting and Tax College,Junior College,Private,Gyeonggi,,,,
Yeoju Institute of Technology,Junior College,Private,Gyeonggi,,,,
Yeonsung University,Junior College,Private,Gyeonggi,,,,
Yongin Arts and Science University,Junior College,Private,Gyeonggi,Yes,,Yes,
Yuhan University,Junior College,Private,Gyeonggi,,,,
Inha Technical College,Junior College,Private,Incheon,Yes,Yes,,
JEI University,Junior College,Private,Incheon,,,,
Korea Polytechnics (multi-campus),Junior College,National,Incheon,,,,National vocational institution (Ministry of Employment and Labor); HQ Incheon
Kyungin Women's University,Junior College,Private,Incheon,Yes,,Yes,
Cheju Halla University,Junior College,Private,Jeju,Yes,,Yes,
Jeju Tourism University,Junior College,Private,Jeju,Yes,,,
Chungbuk Health and Science University,Junior College,Private,North Chungcheong,,,,
Chungbuk Provincial University,Junior College,Public,North Chungcheong,,,,Provincial college
Chungcheong University,Junior College,Private,North Chungcheong,,,,
Daewon University College,Junior College,Private,North Chungcheong,,,,
Kangdong University,Junior College,Private,North Chungcheong,,,,
Andong Science College,Junior College,Private,North Gyeongsang,,,,
Catholic Sangji College,Junior College,Private,North Gyeongsang,,,,
Daekyeung University,Junior College,Private,North Gyeongsang,,,,
Gumi University,Junior College,Private,North Gyeongsang,,,,
Gyeongbuk College of Health,Junior College,Private,North Gyeongsang,,,,
Hosan University,Junior College,Private,North Gyeongsang,,,,
Kyongbuk College of Science,Junior College,Private,North Gyeongsang,,,,
Kyungbuk College,Junior College,Private,North Gyeongsang,,,,
Mun Kyung College,Junior College,Private,North Gyeongsang,,,,
Pohang University (junior college),Junior College,Private,North Gyeongsang,,,,Distinct from POSTECH
Sorabol College,Junior College,Private,North Gyeongsang,,,,
Sung-duk College,Junior College,Private,North Gyeongsang,,,,
Sunlin University,Junior College,Private,North Gyeongsang,,,,
Baekje Arts University,Junior College,Private,North Jeolla,,,,
Jeonbuk Science College,Junior College,Private,North Jeolla,Yes,,Yes,
Jeonju Kijeon College,Junior College,Private,North Jeolla,,,,
Kunjang University College,Junior College,Private,North Jeolla,Yes,,,
Kunsan College of Nursing,Junior College,Private,North Jeolla,,,,
Vision College of Jeonju,Junior College,Private,North Jeolla,Yes,,,
Wonkwang Health Science University,Junior College,Private,North Jeolla,Yes,,Yes,
Baekseok Arts University,Junior College,Private,Seoul,,,,
Baewha Women's University,Junior College,Private,Seoul,,,,
Dongyang Mirae University,Junior College,Private,Seoul,,,,
Hanyang Women's University,Junior College,Private,Seoul,Yes,,Yes,
Induk University,Junior College,Private,Seoul,Yes,,Yes,
Jeonghwa Arts College,Junior College,Private,Seoul,,,,
Myongji College,Junior College,Private,Seoul,Yes,,Yes,
Sahmyook Health University,Junior College,Private,Seoul,,,,
Seoil University,Junior College,Private,Seoul,,,,
Seoul Women's College of Nursing,Junior College,Private,Seoul,,,,
Soongeui Women's College,Junior College,Private,Seoul,,,,
Ajou Motor College,Junior College,Private,South Chungcheong,,,,
Baekseok Culture University,Junior College,Private,South Chungcheong,,,,
Chungnam State University,Junior College,Public,South Chungcheong,,,,Provincial college
Hyejeon College,Junior College,Private,South Chungcheong,,,,
Korea University of Media Arts,Junior College,Private,South Chungcheong,Yes,,Yes,
Shinsung University,Junior College,Private,South Chungcheong,,,,
Yonam College,Junior College,Private,South Chungcheong,,,,
Changwon Moonsung University,Junior College,Private,South Gyeongsang,,,,
Changwon National University Namhae Campus,Junior College,National,South Gyeongsang,Yes,,,Formerly Gyeongnam Provincial Namhae College; merged into Changwon National University
Dongwon Institute of Science and Technology,Junior College,Private,South Gyeongsang,Yes,,,Yangsan
Gimhae College,Junior College,Private,South Gyeongsang,,,,
Gyeongnam Provincial Geochang College,Junior College,Public,South Gyeongsang,Yes,,,English name: University of Gyeongnam Geochang
Jinju Health College,Junior College,Private,South Gyeongsang,,,,
Koje College,Junior College,Private,South Gyeongsang,,,,
Masan University,Junior College,Private,South Gyeongsang,,,,
Yonam Institute of Technology,Junior College,Private,South Gyeongsang,,,,
Cheongam College,Junior College,Private,South Jeolla,,,,
Chunnam Techno University,Junior College,Private,South Jeolla,,,,
Donga College of Health,Junior College,Private,South Jeolla,,,,
Gwangyang Health College,Junior College,Private,South Jeolla,,,,
Hanyeong University College,Junior College,Private,South Jeolla,,,,
Jeonnam Provincial College,Junior College,Public,South Jeolla,,,,Provincial college
Koguryeo College,Junior College,Private,South Jeolla,,,,
Mokpo Science University,Junior College,Private,South Jeolla,Yes,,,
Suncheon Jeil College,Junior College,Private,South Jeolla,,,,
Choonhae College of Health Sciences,Junior College,Private,Ulsan,,,,
Ulsan College,Junior College,Private,Ulsan,Yes,Yes,Yes,
Korea Armed Forces Nursing Academy,Other/Specialized,National,Daejeon,,,,Service academy; not open to international admissions
George Mason University Korea,Other/Specialized,Private,Incheon,,,,Foreign branch campus (Incheon Global Campus); open to international students
Ghent University Global Campus,Other/Specialized,Private,Incheon,,,,Foreign branch campus (Incheon Global Campus); open to international students
State University of New York Korea,Other/Specialized,Private,Incheon,,,,Foreign branch campus (Incheon Global Campus); open to international students
University of Utah Asia Campus,Other/Specialized,Private,Incheon,,,,Foreign branch campus (Incheon Global Campus); open to international students
Korea Air Force Academy,Other/Specialized,National,North Chungcheong,,,,Service academy; not open to international admissions
Korea Army Academy at Yeongcheon,Other/Specialized,National,North Gyeongsang,,,,Service academy; not open to international admissions
Korea Military Academy,Other/Specialized,National,Seoul,,,,Service academy; not open to international admissions
Korea National Defense University,Other/Specialized,National,South Chungcheong,,,,Military graduate institution
Korea National Police University,Other/Specialized,National,South Chungcheong,,,,Police academy; Korean nationals only
Korea Naval Academy,Other/Specialized,National,South Gyeongsang,,,,Service academy; not open to international admissions
Busan University of Foreign Studies,University (4-year),Private,Busan,Yes,Yes,Yes,
Catholic University of Pusan,University (4-year),Private,Busan,,,,
Dong-A University,University (4-year),Private,Busan,Yes,,Yes,
Dong-Eui University,University (4-year),Private,Busan,Yes,,,
Dongseo University,University (4-year),Private,Busan,Yes,,Yes,
Korea Maritime and Ocean University,University (4-year),National,Busan,Yes,,,
Kosin University,University (4-year),Private,Busan,Yes,,,
Kyungsung University,University (4-year),Private,Busan,Yes,Yes,Yes,
Pukyong National University,University (4-year),National,Busan,Yes,,Yes,
Pusan National University,University (4-year),National,Busan,Yes,Yes,Yes,
Silla University,University (4-year),Private,Busan,Yes,,Yes,
Tongmyong University,University (4-year),Private,Busan,Yes,,Yes,
Daegu Gyeongbuk Institute of Science and Technology (DGIST),University (4-year),National,Daegu,,,,Science & technology institute
Keimyung University,University (4-year),Private,Daegu,Yes,Yes,Yes,
Kyungpook National University,University (4-year),National,Daegu,Yes,Yes,Yes,
Asia LIFE University,University (4-year),Private,Daejeon,,,,
Chungnam National University,University (4-year),National,Daejeon,Yes,Yes,Yes,
Daejeon Theological University,University (4-year),Private,Daejeon,,,,
Daejeon University,University (4-year),Private,Daejeon,Yes,,Yes,
Hanbat National University,University (4-year),National,Daejeon,Yes,,Yes,
Hannam University,University (4-year),Private,Daejeon,Yes,,Yes,
KAIST (Korea Advanced Institute of Science and Technology),University (4-year),National,Daejeon,Yes,,,Science & technology institute
Korea Baptist Theological University,University (4-year),Private,Daejeon,,,,
Mokwon University,University (4-year),Private,Daejeon,Yes,,Yes,
Pai Chai University,University (4-year),Private,Daejeon,Yes,,Yes,
Woosong University,University (4-year),Private,Daejeon,Yes,,Yes,
Catholic Kwandong University,University (4-year),Private,Gangwon,,,,
Gangneung-Wonju National University,University (4-year),National,Gangwon,Yes,,Yes,Merged into Kangwon National University (Gangneung and Wonju campuses IEQAS-certified)
Halla University,University (4-year),Private,Gangwon,,,,
Hallym University,University (4-year),Private,Gangwon,Yes,,,
Kangwon National University,University (4-year),National,Gangwon,Yes,,Yes,Chuncheon and Samcheok campuses IEQAS-certified
Kyungdong University,University (4-year),Private,Gangwon,Yes,,Yes,
Sangji University,University (4-year),Private,Gangwon,,,,
Chonnam National University,University (4-year),National,Gwangju,Yes,,Yes,
Chosun University,University (4-year),Private,Gwangju,Yes,,Yes,
Gwangju Institute of Science and Technology (GIST),University (4-year),National,Gwangju,Yes,,,Science & technology institute
Gwangju University,University (4-year),Private,Gwangju,Yes,,Yes,
Honam Theological University and Seminary,University (4-year),Private,Gwangju,,,,
Honam University,University (4-year),Private,Gwangju,,,,
Kwangju Women's University,University (4-year),Private,Gwangju,Yes,,,
Kwangshin University,University (4-year),Private,Gwangju,,,,
Nambu University,University (4-year),Private,Gwangju,,,,
Songwon University,University (4-year),Private,Gwangju,,,,
Ajou University,University (4-year),Private,Gyeonggi,Yes,Yes,Yes,
Anyang University,University (4-year),Private,Gyeonggi,Yes,,,
Asia United Theological University,University (4-year),Private,Gyeonggi,,,,
CHA University,University (4-year),Private,Gyeonggi,Yes,,,
Calvin University,University (4-year),Private,Gyeonggi,,,,
Daejin University,University (4-year),Private,Gyeonggi,Yes,,,
Dankook University,University (4-year),Private,Gyeonggi,Yes,Yes,Yes,
Eulji University,University (4-year),Private,Gyeonggi,Yes,,,
Gachon University,University (4-year),Private,Gyeonggi,Yes,,Yes,
Hankyong National University,University (4-year),National,Gyeonggi,,,,
Hansei University,University (4-year),Private,Gyeonggi,Yes,,,
Hanshin University,University (4-year),Private,Gyeonggi,,,,
Hyupsung University,University (4-year),Private,Gyeonggi,,,,
Joongang Sangha University,University (4-year),Private,Gyeonggi,,,,Buddhist
Kangnam University,University (4-year),Private,Gyeonggi,Yes,,,
Korea Aerospace University,University (4-year),Private,Gyeonggi,Yes,Yes,,
Kyonggi University,University (4-year),Private,Gyeonggi,Yes,,Yes,
Luther University,University (4-year),Private,Gyeonggi,,,,
Pyeongtaek University,University (4-year),Private,Gyeonggi,Yes,,Yes,
Seoul Jangsin University,University (4-year),Private,Gyeonggi,,,,
Seoul Theological University,University (4-year),Private,Gyeonggi,Yes,Yes,Yes,Bucheon
Shinhan University,University (4-year),Private,Gyeonggi,Yes,,Yes,
Sungkyul University,University (4-year),Private,Gyeonggi,Yes,Yes,Yes,
Suwon Catholic University,University (4-year),Private,Gyeonggi,,,,
Tech University of Korea,University (4-year),Private,Gyeonggi,,,,Formerly Korea Polytechnic University
The University of Suwon,University (4-year),Private,Gyeonggi,,,,
Yong-In University,University (4-year),Private,Gyeonggi,,,,
Incheon Catholic University,University (4-year),Private,Incheon,,,,
Incheon National University,University (4-year),National,Incheon,Yes,,Yes,
Inha University,University (4-year),Private,Incheon,Yes,Yes,Yes,
Jeju International University,University (4-year),Private,Jeju,,,,
Jeju National University,University (4-year),National,Jeju,Yes,Yes,Yes,
Catholic Kkottongnae University,University (4-year),Private,North Chungcheong,,,,
Cheongju University,University (4-year),Private,North Chungcheong,Yes,,Yes,
Chungbuk National University,University (4-year),National,North Chungcheong,Yes,,Yes,
Far East University,University (4-year),Private,North Chungcheong,,,,
Jungwon University,University (4-year),Private,North Chungcheong,Yes,,,
Korea National University of Education,University (4-year),National,North Chungcheong,Yes,,,Secondary-teacher training
Korea National University of Transportation,University (4-year),National,North Chungcheong,Yes,,Yes,
Semyung University,University (4-year),Private,North Chungcheong,Yes,,Yes,
Seowon University,University (4-year),Private,North Chungcheong,,,,
U1 University,University (4-year),Private,North Chungcheong,,,,
Catholic University of Daegu,University (4-year),Private,North Gyeongsang,Yes,,Yes,IEQAS-listed as Daegu Catholic University
Daegu Arts University,University (4-year),Private,North Gyeongsang,,,,
Daegu Haany University,University (4-year),Private,North Gyeongsang,Yes,,,
Daegu University,University (4-year),Private,North Gyeongsang,Yes,,Yes,
Daeshin University,University (4-year),Private,North Gyeongsang,Yes,,Yes,
Gimcheon University,University (4-year),Private,North Gyeongsang,Yes,,,
Gyeongkuk National University,University (4-year),National,North Gyeongsang,Yes,,Yes,Formed 2025 by merger of Andong National University and Gyeongbuk Provincial University
Handong Global University,University (4-year),Private,North Gyeongsang,Yes,,,
Kumoh National Institute of Technology,University (4-year),National,North Gyeongsang,Yes,,,
Kyungil University,University (4-year),Private,North Gyeongsang,Yes,,Yes,
Kyungwoon University,University (4-year),Private,North Gyeongsang,Yes,,Yes,
Pohang University of Science and Technology (POSTECH),University (4-year),Private,North Gyeongsang,Yes,Yes,,
SinGyeongju University,University (4-year),Private,North Gyeongsang,,,,Formerly Gyeongju University
Uiduk University,University (4-year),Private,North Gyeongsang,Yes,,Yes,
Yeungnam University,University (4-year),Private,North Gyeongsang,Yes,,Yes,
Youngnam Theological University and Seminary,University (4-year),Private,North Gyeongsang,,,,
Hanil University and Presbyterian Theological Seminary,University (4-year),Private,North Jeolla,,,,
Howon University,University (4-year),Private,North Jeolla,,,,
Jeonbuk National University,University (4-year),National,North Jeolla,Yes,,Yes,
Jeonju University,University (4-year),Private,North Jeolla,Yes,,,
Jesus University,University (4-year),Private,North Jeolla,,,,
Kunsan National University,University (4-year),National,North Jeolla,Yes,,Yes,
Wonkwang University,University (4-year),Private,North Jeolla,Yes,,Yes,
Woosuk University,University (4-year),Private,North Jeolla,Yes,,,
Yewon Arts University,University (4-year),Private,North Jeolla,,,,
Catholic University of Daejeon,University (4-year),Private,Sejong,,,,Also known as Daejeon Catholic University
Chongshin University,University (4-year),Private,Seoul,,,,
Chugye University for the Arts,University (4-year),Private,Seoul,,,,
Chung-Ang University,University (4-year),Private,Seoul,Yes,Yes,Yes,
Dongduk Women's University,University (4-year),Private,Seoul,Yes,,,
Dongguk University,University (4-year),Private,Seoul,Yes,Yes,Yes,Seoul and WISE (Gyeongju) campuses IEQAS-certified
Duksung Women's University,University (4-year),Private,Seoul,Yes,Yes,Yes,
Ewha Womans University,University (4-year),Private,Seoul,Yes,Yes,Yes,
Gangseo University,University (4-year),Private,Seoul,Yes,,,Formerly KC University
Hankuk University of Foreign Studies,University (4-year),Private,Seoul,Yes,,Yes,
Hansung University,University (4-year),Private,Seoul,Yes,Yes,Yes,
Hanyang University,University (4-year),Private,Seoul,Yes,Yes,Yes,Seoul and ERICA (Ansan) campuses IEQAS-certified
Hongik University,University (4-year),Private,Seoul,Yes,Yes,Yes,
Konkuk University,University (4-year),Private,Seoul,Yes,Yes,Yes,Seoul and Glocal (Chungju) campuses IEQAS-certified
Kookmin University,University (4-year),Private,Seoul,Yes,,Yes,
Korea National Sport University,University (4-year),National,Seoul,,,,
Korea University,University (4-year),Private,Seoul,Yes,Yes,Yes,Seoul (Anam) and Sejong campuses IEQAS-certified
Korean Bible University,University (4-year),Private,Seoul,Yes,,Yes,
Korean National University of Arts,University (4-year),National,Seoul,,,,
Kwangwoon University,University (4-year),Private,Seoul,Yes,,Yes,
Kyung Hee University,University (4-year),Private,Seoul,Yes,Yes,Yes,
Methodist Theological University,University (4-year),Private,Seoul,,,,
Myongji University,University (4-year),Private,Seoul,Yes,,Yes,Seoul campus IEQAS-certified
Presbyterian University and Theological Seminary,University (4-year),Private,Seoul,,,,
Sahmyook University,University (4-year),Private,Seoul,Yes,,Yes,
Sangmyung University,University (4-year),Private,Seoul,Yes,,,
Sejong University,University (4-year),Private,Seoul,Yes,Yes,Yes,
Seokyeong University,University (4-year),Private,Seoul,Yes,Yes,Yes,
Seoul Christian University,University (4-year),Private,Seoul,Yes,,,
Seoul Hanyoung University,University (4-year),Private,Seoul,,,,
Seoul National University,University (4-year),National,Seoul,Yes,,Yes,
Seoul National University of Science and Technology,University (4-year),National,Seoul,Yes,,Yes,
Seoul Women's University,University (4-year),Private,Seoul,Yes,Yes,Yes,
Sogang University,University (4-year),Private,Seoul,Yes,,Yes,
Sookmyung Women's University,University (4-year),Private,Seoul,Yes,Yes,Yes,
Soongsil University,University (4-year),Private,Seoul,Yes,,Yes,
Sungkonghoe University,University (4-year),Private,Seoul,Yes,,,
Sungkyunkwan University,University (4-year),Private,Seoul,Yes,Yes,Yes,
Sungshin Women's University,University (4-year),Private,Seoul,Yes,Yes,Yes,
Taejae University,University (4-year),Private,Seoul,,,,Founded 2023
The Catholic University of Korea,University (4-year),Private,Seoul,Yes,,Yes,
University of Seoul,University (4-year),Public,Seoul,Yes,Yes,Yes,
Yonsei University,University (4-year),Private,Seoul,Yes,,Yes,Seoul (Sinchon) and Mirae (Wonju) campuses IEQAS-certified
Baekseok University,University (4-year),Private,South Chungcheong,Yes,,Yes,
Chungwoon University,University (4-year),Private,South Chungcheong,,,,
Geumgang University,University (4-year),Private,South Chungcheong,,,,Buddhist
Hanseo University,University (4-year),Private,South Chungcheong,Yes,,Yes,
Hoseo University,University (4-year),Private,South Chungcheong,Yes,,Yes,
Joongbu University,University (4-year),Private,South Chungcheong,Yes,Yes,Yes,
Kongju National University,University (4-year),National,South Chungcheong,Yes,,Yes,
Konyang University,University (4-year),Private,South Chungcheong,Yes,Yes,Yes,
Korea National University of Heritage,University (4-year),National,South Chungcheong,,,,Formerly Korea National University of Cultural Heritage
Korea Nazarene University,University (4-year),Private,South Chungcheong,Yes,,Yes,
Korea University of Technology and Education,University (4-year),Private,South Chungcheong,Yes,,Yes,KOREATECH; funded by Ministry of Employment and Labor
Namseoul University,University (4-year),Private,South Chungcheong,Yes,,Yes,
Soonchunhyang University,University (4-year),Private,South Chungcheong,Yes,,Yes,
Sun Moon University,University (4-year),Private,South Chungcheong,Yes,Yes,Yes,
Busan Presbyterian University,University (4-year),Private,South Gyeongsang,,,,Gimhae
Changshin University,University (4-year),Private,South Gyeongsang,Yes,,Yes,
Changwon National University,University (4-year),National,South Gyeongsang,Yes,,Yes,
Gyeongsang National University,University (4-year),National,South Gyeongsang,Yes,,Yes,
Inje University,University (4-year),Private,South Gyeongsang,Yes,,Yes,
Kaya University,University (4-year),Private,South Gyeongsang,,,,
Kyungnam University,University (4-year),Private,South Gyeongsang,Yes,,Yes,
Youngsan University,University (4-year),Private,South Gyeongsang,Yes,,Yes,
Chodang University,University (4-year),Private,South Jeolla,,,,
Dongshin University,University (4-year),Private,South Jeolla,Yes,,Yes,
Gwangju Catholic University,University (4-year),Private,South Jeolla,,,,Naju
Mokpo Catholic University,University (4-year),Private,South Jeolla,,,,
Mokpo National Maritime University,University (4-year),National,South Jeolla,,,,
Mokpo National University,University (4-year),National,South Jeolla,Yes,,,
Sehan University,University (4-year),Private,South Jeolla,,,,
Sunchon National University,University (4-year),National,South Jeolla,Yes,,Yes,
Youngsan University of Son Studies,University (4-year),Private,South Jeolla,,,,Buddhist (Seon studies)
Ulsan National Institute of Science and Technology (UNIST),University (4-year),National,Ulsan,Yes,Yes,,Science & technology institute
University of Ulsan,University (4-year),Private,Ulsan,Yes,,Yes,
